Dataset: beers
Original file: /root/datarepair/datasets/beers/dirty.csv
Clean file: /root/datarepair/datasets/beers/clean.csv
Repaired file: /root/datarepair/baselines/raha/repaired_datasets/beers/repaired_dirty.csv
Processing time: 180.43 seconds
Total errors detected: 4362
Total corrections applied: 4050

Corrections applied (Row,Column,Original_Value,Corrected_Value):
839,3,"12.0 oz","12"
840,3,"12.0 oz","12"
841,3,"12.0 ounce","12"
842,3,"12.0 oz.","12"
843,3,"12.0 oz.","12"
844,3,"12.0 oz","12"
845,3,"12.0 ounce","12"
846,3,"12.0 oz","12"
847,3,"16.0 oz","16"
848,3,"16.0 ounce","12"
849,3,"16.0 oz.","16"
850,3,"16.0 oz. Alumi-Tek","12"
851,3,"12.0 oz. Alumi-Tek","12"
852,3,"12.0 oz","12"
853,3,"12.0 oz","12"
854,3,"12.0 oz.","12"
855,3,"12.0 oz.","12"
856,3,"12.0 oz","12"
857,3,"12.0 oz.","12"
858,3,"12.0 oz","12"
859,3,"12.0 ounce","12"
860,3,"12.0 oz.","12"
861,3,"12.0 oz. Alumi-Tek","16"
862,3,"12.0 ounce","12"
863,3,"12.0 oz.","12"
864,3,"12.0 oz. Alumi-Tek","12"
865,3,"12.0 ounce","12"
866,3,"12.0 oz. Alumi-Tek","12"
867,3,"12.0 oz.","12"
868,3,"12.0 oz.","12"
869,3,"12.0 oz.","12"
870,3,"12.0 oz.","12"
871,3,"12.0 ounce","12"
872,3,"12.0 oz","12"
873,3,"12.0 ounce","12"
874,3,"12.0 ounce","12"
875,3,"12.0 oz","12"
876,3,"12.0 ounce","12"
877,3,"12.0 oz","12"
878,3,"12.0 oz","12"
879,3,"12.0 oz.","12"
880,3,"12.0 oz","12"
881,3,"12.0 oz.","12"
882,3,"12.0 oz","12"
883,3,"12.0 oz.","12"
884,3,"16.0 oz. Alumi-Tek","12"
885,3,"12.0 OZ.","12"
886,3,"12.0 oz.","12"
887,3,"12.0 ounce","12"
888,3,"12.0 ounce","12"
889,3,"12.0 oz","12"
890,3,"16.0 oz","16"
891,3,"12.0 OZ.","12"
892,3,"16.0 oz.","16"
893,3,"16.0 oz.","16"
894,3,"16.0 oz","16"
895,3,"16.0 oz.","16"
896,3,"16.0 ounce","12"
897,3,"16.0 oz","16"
898,3,"12.0 oz","12"
899,3,"16.0 oz","16"
900,3,"16.0 oz.","16"
901,3,"16.0 oz.","16"
902,3,"16.0 oz.","16"
903,3,"16.0 oz.","16"
904,3,"16.0 ounce","12"
905,3,"16.0 ounce","12"
906,3,"12.0 ounce","12"
907,3,"12.0 oz.","12"
908,3,"12.0 oz.","12"
909,3,"12.0 oz","12"
910,3,"12.0 oz.","12"
911,3,"12.0 ounce","12"
912,3,"12.0 ounce","12"
913,3,"12.0 OZ.","12"
914,3,"12.0 oz.","12"
915,3,"16.0 oz.","16"
916,3,"12.0 oz.","12"
917,3,"16.0 oz","16"
918,3,"12.0 ounce","12"
919,3,"12.0 oz.","12"
920,3,"12.0 ounce","12"
921,3,"12.0 oz.","12"
922,3,"12.0 oz.","12"
923,3,"12.0 oz. Silo Can","12"
924,3,"12.0 oz.","12"
925,3,"12.0 oz.","12"
926,3,"12.0 oz.","12"
927,3,"12.0 oz.","12"
928,3,"16.0 oz.","16"
929,3,"16.0 OZ.","16"
930,3,"16.0 oz","16"
931,3,"16.0 oz.","16"
932,3,"16.0 oz","16"
933,3,"16.0 oz.","16"
934,3,"16.0 oz.","16"
935,3,"16.0 oz.","16"
936,3,"16.0 OZ.","16"
937,3,"16.0 oz.","16"
938,3,"16.0 oz.","16"
939,3,"16.0 oz.","16"
940,3,"16.0 oz","16"
941,3,"16.0 oz","16"
942,3,"16.0 oz","16"
943,3,"16.0 oz.","16"
944,3,"16.0 oz","16"
945,3,"16.0 oz.","16"
946,3,"16.0 oz.","16"
947,3,"16.0 oz","16"
948,3,"12.0 oz","12"
949,3,"12.0 oz","12"
950,3,"12.0 oz.","12"
951,3,"12.0 ounce","12"
952,3,"12.0 oz","12"
953,3,"12.0 oz.","12"
954,3,"12.0 ounce","12"
955,3,"12.0 OZ.","12"
956,3,"12.0 oz.","12"
957,3,"24.0 oz.","24"
958,3,"12.0 ounce","12"
959,3,"12.0 ounce","12"
960,3,"12.0 oz","12"
961,3,"12.0 oz","12"
962,3,"16.0 ounce","12"
963,3,"12.0 ounce","12"
964,3,"12.0 oz.","12"
965,3,"12.0 oz.","12"
966,3,"16.0 ounce","12"
967,3,"16.0 OZ.","16"
968,3,"16.0 oz.","16"
969,3,"16.0 oz. Alumi-Tek","12"
970,3,"16.0 oz.","16"
971,3,"16.0 oz.","16"
972,3,"16.0 ounce","12"
973,3,"16.0 oz","16"
974,3,"16.0 oz.","16"
975,3,"16.0 oz.","16"
976,3,"16.0 oz.","16"
977,3,"16.0 oz","16"
978,3,"16.0 oz","16"
979,3,"12.0 oz.","12"
980,3,"12.0 ounce","12"
981,3,"12.0 ounce","12"
982,3,"16.0 ounce","12"
983,3,"12.0 oz","12"
984,3,"16.0 oz. Alumi-Tek","12"
985,3,"12.0 oz.","12"
986,3,"16.0 ounce","12"
987,3,"16.0 ounce","12"
988,3,"16.0 OZ.","16"
989,3,"12.0 oz.","12"
990,3,"12.0 oz.","12"
991,3,"16.0 oz.","16"
992,3,"16.0 ounce","12"
993,3,"16.0 ounce","12"
994,3,"16.0 ounce","12"
995,3,"16.0 ounce","12"
996,3,"16.0 OZ.","16"
997,3,"16.0 ounce","16"
998,3,"12.0 oz","12"
999,3,"16.0 oz","16"
1000,3,"12.0 oz.","12"
1001,3,"12.0 oz","12"
1002,3,"12.0 ounce","12"
1003,3,"16.0 oz.","16"
1004,3,"16.0 oz.","16"
1005,3,"16.0 oz.","16"
1006,3,"16.0 oz","16"
1007,3,"16.0 oz","16"
1008,3,"16.0 oz.","16"
1009,3,"16.0 oz","16"
1010,3,"16.0 oz","16"
1011,3,"12.0 oz. Alumi-Tek","12"
1012,3,"12.0 oz","12"
1013,3,"12.0 oz. Alumi-Tek","12"
1014,3,"12.0 oz","12"
1015,3,"16.0 oz.","16"
1016,3,"12.0 oz","12"
1017,3,"12.0 ounce","12"
1018,3,"12.0 oz","12"
1019,3,"12.0 ounce","12"
1020,3,"12.0 oz.","12"
1021,3,"12.0 oz.","12"
1022,3,"12.0 ounce","12"
1023,3,"12.0 oz.","12"
1024,3,"12.0 oz.","12"
1025,3,"12.0 ounce","12"
1026,3,"12.0 oz","12"
1027,3,"12.0 oz.","12"
1028,3,"12.0 OZ.","12"
1029,3,"12.0 oz","12"
1030,3,"12.0 oz.","12"
1031,3,"12.0 oz.","12"
1032,3,"12.0 ounce","12"
1033,3,"12.0 oz","12"
1034,3,"19.2 oz.","19"
1035,3,"12.0 ounce","12"
1036,3,"19.2 oz","19"
1037,3,"16.0 oz.","16"
1038,3,"16.0 oz","16"
1039,3,"16.0 ounce","12"
1040,3,"12.0 oz","12"
1041,3,"12.0 oz","12"
1042,3,"12.0 OZ.","12"
1043,3,"16.0 OZ.","16"
1044,3,"16.0 oz","16"
1045,3,"16.0 oz","16"
1046,3,"12.0 ounce","12"
1047,3,"12.0 oz. Alumi-Tek","16"
1048,3,"12.0 oz","12"
1049,3,"12.0 oz.","12"
1050,3,"12.0 ounce","12"
1051,3,"16.0 oz. Alumi-Tek","16"
1052,3,"16.0 oz.","16"
1053,3,"16.0 oz.","16"
1054,3,"16.0 oz.","16"
1055,3,"16.0 oz","16"
1056,3,"16.0 oz.","16"
1057,3,"12.0 oz.","12"
1058,3,"12.0 ounce","12"
1059,3,"12.0 oz","12"
1060,3,"12.0 oz","12"
1061,3,"12.0 oz.","12"
1062,3,"12.0 oz.","12"
1063,3,"12.0 oz.","12"
1064,3,"12.0 ounce","12"
1065,3,"12.0 oz.","12"
1066,3,"12.0 oz.","12"
1067,3,"12.0 oz.","12"
1068,3,"12.0 oz","12"
1069,3,"12.0 oz.","12"
1070,3,"12.0 oz.","12"
1071,3,"12.0 ounce","12"
1072,3,"12.0 oz.","12"
1073,3,"16.0 oz","16"
1074,3,"16.0 oz","16"
1075,3,"16.0 ounce","12"
1076,3,"16.0 oz.","16"
1077,3,"16.0 ounce","12"
1078,3,"16.0 ounce","12"
1079,3,"16.0 ounce","12"
1080,3,"16.0 oz","16"
1081,3,"16.0 ounce","12"
1082,3,"16.0 oz","16"
1083,3,"16.0 oz. Alumi-Tek","12"
1084,3,"16.0 oz","16"
1085,3,"16.0 oz","16"
1086,3,"16.0 oz","16"
1087,3,"16.0 oz","16"
1088,3,"16.0 oz.","16"
1089,3,"16.0 oz.","16"
1090,3,"16.0 oz.","16"
1091,3,"16.0 oz","16"
1092,3,"16.0 ounce","12"
1093,3,"16.0 oz","16"
1094,3,"16.0 oz","16"
1095,3,"16.0 oz.","16"
1096,3,"12.0 oz.","12"
1097,3,"12.0 oz.","12"
1098,3,"16.0 oz.","16"
1099,3,"12.0 oz.","12"
1100,3,"12.0 oz.","12"
1101,3,"12.0 oz","12"
1102,3,"12.0 ounce","12"
1103,3,"12.0 ounce","12"
1104,3,"12.0 oz.","12"
1105,3,"12.0 ounce","12"
1106,3,"12.0 oz","12"
1107,3,"12.0 oz","12"
1108,3,"12.0 oz.","12"
1109,3,"12.0 oz. Alumi-Tek","12"
1110,3,"12.0 oz","12"
1111,3,"12.0 oz.","12"
1112,3,"12.0 oz.","12"
1113,3,"12.0 oz.","12"
1114,3,"12.0 oz","12"
1115,3,"12.0 oz","12"
1116,3,"12.0 oz","12"
1117,3,"16.0 oz.","16"
1118,3,"16.0 oz","16"
1119,3,"12.0 OZ.","12"
1120,3,"16.0 oz.","16"
1121,3,"12.0 ounce","12"
1122,3,"12.0 oz. Alumi-Tek","12"
1123,3,"12.0 OZ.","12"
1124,3,"12.0 oz.","12"
1125,3,"12.0 oz.","12"
1126,3,"12.0 ounce","12"
1127,3,"12.0 ounce","12"
1128,3,"12.0 oz.","12"
1129,3,"12.0 oz","12"
1130,3,"12.0 ounce","12"
1131,3,"12.0 oz.","12"
1132,3,"12.0 ounce","12"
1133,3,"12.0 oz.","12"
1134,3,"12.0 oz","12"
1135,3,"12.0 OZ.","12"
1136,3,"12.0 oz.","12"
1137,3,"12.0 oz","12"
1138,3,"12.0 ounce","12"
1139,3,"12.0 oz","12"
1140,3,"12.0 oz","12"
1141,3,"12.0 oz","12"
1142,3,"12.0 oz. Alumi-Tek","12"
1143,3,"12.0 oz.","12"
1144,3,"12.0 oz.","12"
1145,3,"12.0 oz.","12"
1146,3,"12.0 oz.","12"
1147,3,"12.0 ounce","12"
1148,3,"12.0 ounce","12"
1149,3,"12.0 oz. Alumi-Tek","12"
1150,3,"12.0 OZ.","12"
1151,3,"12.0 oz.","12"
1152,3,"12.0 oz.","12"
1153,3,"12.0 oz","12"
1154,3,"12.0 oz.","12"
1155,3,"12.0 oz","12"
1156,3,"12.0 ounce","12"
1157,3,"12.0 oz","12"
1158,3,"12.0 ounce","12"
1159,3,"12.0 oz. Alumi-Tek","12"
1160,3,"12.0 oz","12"
1161,3,"16.0 oz.","16"
1162,3,"16.0 ounce","12"
1163,3,"16.0 oz.","16"
1164,3,"16.0 oz.","16"
1165,3,"16.0 ounce","12"
1166,3,"16.0 oz.","16"
1167,3,"12.0 oz.","12"
1168,3,"12.0 oz.","12"
1169,3,"12.0 oz.","12"
1170,3,"12.0 oz","12"
1171,3,"12.0 oz. Alumi-Tek","12"
1172,3,"12.0 oz","12"
1173,3,"12.0 oz","12"
1174,3,"12.0 oz.","12"
1175,3,"12.0 oz.","12"
1176,3,"12.0 OZ.","12"
1177,3,"12.0 oz. Alumi-Tek","12"
1178,3,"12.0 oz.","12"
1179,3,"16.0 ounce","12"
1180,3,"16.0 oz.","16"
1181,3,"24.0 oz.","24"
1182,3,"16.0 oz","16"
1183,3,"12.0 oz.","12"
1184,3,"12.0 oz","12"
1185,3,"12.0 oz.","12"
1186,3,"16.0 oz.","16"
1187,3,"16.0 oz.","16"
1188,3,"16.0 ounce","12"
1189,3,"12.0 oz.","12"
1190,3,"12.0 oz.","12"
1191,3,"12.0 ounce","12"
1192,3,"12.0 ounce","12"
1193,3,"12.0 oz","12"
1194,3,"12.0 ounce","12"
1195,3,"12.0 oz","12"
1196,3,"12.0 ounce","12"
1197,3,"12.0 oz","12"
1198,3,"12.0 oz. Alumi-Tek","12"
1199,3,"12.0 oz.","12"
1200,3,"16.0 oz","16"
1201,3,"12.0 oz.","12"
1202,3,"12.0 oz.","12"
1203,3,"12.0 oz","12"
1204,3,"12.0 oz.","12"
1205,3,"12.0 OZ.","12"
1206,3,"16.0 ounce","12"
1207,3,"16.0 oz.","16"
1208,3,"12.0 oz","12"
1209,3,"12.0 oz","12"
1210,3,"12.0 oz.","12"
1211,3,"12.0 oz.","12"
1212,3,"12.0 oz.","12"
1213,3,"12.0 oz","12"
1214,3,"16.0 oz","16"
1215,3,"12.0 oz.","12"
1216,3,"12.0 ounce","12"
1217,3,"12.0 ounce","12"
1218,3,"12.0 oz","12"
1219,3,"12.0 oz.","12"
1220,3,"16.0 ounce","12"
1221,3,"12.0 OZ.","12"
1222,3,"12.0 ounce","12"
1223,3,"16.0 oz","16"
1224,3,"16.0 oz","16"
1225,3,"16.0 OZ.","16"
1226,3,"16.0 oz.","16"
1227,3,"12.0 oz","12"
1228,3,"12.0 oz.","12"
1229,3,"16.0 oz.","16"
1230,3,"16.0 ounce","12"
1231,3,"16.0 oz.","16"
1232,3,"16.0 ounce","12"
1233,3,"12.0 oz. Silo Can","12"
1234,3,"12.0 oz.","12"
1235,3,"12.0 oz. Alumi-Tek","16"
1236,3,"12.0 oz.","12"
1237,3,"12.0 ounce","12"
1238,3,"12.0 oz. Silo Can","12"
1239,3,"12.0 oz","12"
1240,3,"12.0 oz","12"
1241,3,"12.0 ounce","12"
1242,3,"12.0 oz","12"
1243,3,"12.0 oz.","12"
1244,3,"12.0 oz","12"
1245,3,"12.0 ounce","12"
1246,3,"16.0 OZ.","16"
1247,3,"12.0 oz.","12"
1248,3,"12.0 oz.","12"
1249,3,"12.0 ounce","12"
1250,3,"12.0 ounce","12"
1251,3,"12.0 oz.","12"
1252,3,"16.0 OZ.","16"
1253,3,"12.0 oz.","12"
1254,3,"12.0 ounce","12"
1255,3,"12.0 oz.","12"
1256,3,"12.0 oz.","12"
1257,3,"12.0 ounce","12"
1258,3,"12.0 ounce","12"
1259,3,"12.0 oz.","12"
1260,3,"12.0 oz.","12"
1261,3,"12.0 oz.","12"
1262,3,"12.0 ounce","12"
1263,3,"12.0 ounce","12"
1264,3,"12.0 oz","12"
1265,3,"12.0 oz","12"
1266,3,"12.0 oz","12"
1267,3,"12.0 ounce","12"
1268,3,"12.0 ounce","12"
1269,3,"12.0 ounce","12"
1270,3,"12.0 ounce","12"
1271,3,"12.0 oz","12"
1272,3,"12.0 OZ.","12"
1273,3,"12.0 oz","12"
1274,3,"12.0 oz.","12"
1275,3,"16.0 oz","16"
1276,3,"16.0 ounce","16"
1277,3,"16.0 oz","16"
1278,3,"16.0 oz.","16"
1279,3,"16.0 oz.","16"
1280,3,"16.0 oz","12"
1281,3,"16.0 OZ.","16"
1282,3,"16.0 oz.","16"
1283,3,"16.0 OZ.","16"
1284,3,"12.0 oz","12"
1285,3,"16.0 oz.","16"
1286,3,"12.0 ounce","12"
1288,3,"12.0 oz.","12"
1289,3,"12.0 ounce","12"
1290,3,"16.0 ounce","12"
1291,3,"12.0 OZ.","12"
1292,3,"12.0 oz","12"
1293,3,"12.0 oz.","12"
1294,3,"12.0 ounce","12"
1295,3,"12.0 oz","12"
1296,3,"12.0 oz","12"
1297,3,"12.0 oz. Alumi-Tek","12"
1298,3,"12.0 oz","12"
1299,3,"12.0 oz.","12"
1300,3,"16.0 oz","16"
1301,3,"12.0 oz","12"
1302,3,"12.0 oz. Alumi-Tek","12"
1303,3,"12.0 oz. Alumi-Tek","12"
1304,3,"12.0 oz.","12"
1305,3,"12.0 oz","12"
1306,3,"12.0 oz.","12"
1307,3,"12.0 oz","12"
1308,3,"12.0 OZ.","12"
1309,3,"12.0 ounce","12"
1310,3,"12.0 oz","12"
1311,3,"12.0 oz.","12"
1312,3,"12.0 oz","12"
1313,3,"12.0 ounce","12"
1314,3,"12.0 oz.","12"
1315,3,"12.0 oz.","12"
1316,3,"16.0 OZ.","16"
1317,3,"16.0 oz.","16"
1318,3,"16.0 ounce","12"
1319,3,"19.2 oz","19"
1320,3,"12.0 OZ.","12"
1321,3,"12.0 oz.","12"
1322,3,"12.0 oz.","12"
1323,3,"12.0 oz","12"
1324,3,"12.0 ounce","12"
1325,3,"12.0 oz","12"
1326,3,"12.0 ounce","12"
1327,3,"12.0 oz.","12"
1328,3,"12.0 oz","12"
1329,3,"12.0 oz.","12"
1330,3,"12.0 oz.","12"
1331,3,"12.0 oz.","12"
1332,3,"12.0 oz.","12"
1333,3,"12.0 ounce","12"
1334,3,"12.0 oz.","12"
1335,3,"16.0 oz.","16"
1336,3,"16.0 oz.","16"
1337,3,"16.0 ounce","12"
1338,3,"16.0 oz.","16"
1339,3,"16.0 oz","16"
1340,3,"16.0 OZ.","16"
1341,3,"24.0 ounce","12"
1342,3,"24.0 oz","24"
1343,3,"24.0 ounce","12"
1344,3,"24.0 oz","24"
1345,3,"24.0 oz.","24"
1346,3,"24.0 oz. Alumi-Tek","12"
1347,3,"24.0 oz","24"
1348,3,"24.0 ounce","16"
1349,3,"12.0 ounce","12"
1350,3,"12.0 oz. Alumi-Tek","12"
1351,3,"16.0 oz.","16"
1352,3,"16.0 oz.","16"
1353,3,"16.0 OZ.","16"
1354,3,"16.0 ounce","12"
1355,3,"16.0 oz.","16"
1356,3,"16.0 oz.","16"
1357,3,"16.0 oz","16"
1358,3,"16.0 ounce","12"
1359,3,"16.0 oz.","16"
1360,3,"16.0 oz","16"
1361,3,"24.0 oz.","24"
1362,3,"16.0 ounce","12"
1363,3,"12.0 oz.","12"
1364,3,"12.0 ounce","12"
1365,3,"16.0 oz.","16"
1366,3,"12.0 oz.","12"
1367,3,"16.0 oz.","16"
1368,3,"12.0 oz. Alumi-Tek","12"
1369,3,"12.0 oz.","12"
1370,3,"24.0 oz.","24"
1371,3,"12.0 oz.","12"
1372,3,"12.0 OZ.","12"
1373,3,"12.0 OZ.","12"
1374,3,"32.0 oz. Alumi-Tek","12"
1375,3,"32.0 OZ.","32"
1376,3,"32.0 oz.","32"
1377,3,"32.0 oz.","32"
1378,3,"16.0 OZ.","16"
1379,3,"16.0 oz.","16"
1380,3,"16.0 ounce","12"
1381,3,"16.0 oz.","16"
1382,3,"24.0 ounce","12"
1383,3,"24.0 oz. Alumi-Tek","16"
1384,3,"12.0 oz.","12"
1385,3,"16.0 oz.","16"
1386,3,"16.0 oz.","16"
1387,3,"16.0 ounce","16"
1388,3,"16.0 ounce","12"
1389,3,"16.0 oz.","16"
1390,3,"16.0 ounce","12"
1391,3,"16.0 oz.","16"
1392,3,"16.0 ounce","12"
1393,3,"12.0 oz","12"
1394,3,"16.0 OZ.","16"
1395,3,"16.0 ounce","12"
1396,3,"16.0 oz","16"
1397,3,"12.0 oz.","12"
1398,3,"12.0 ounce","12"
1399,3,"12.0 ounce","12"
1400,3,"12.0 oz.","12"
1401,3,"12.0 oz","12"
1402,3,"12.0 oz.","12"
1403,3,"12.0 oz","12"
1404,3,"12.0 oz","12"
1405,3,"12.0 oz","12"
1406,3,"12.0 oz.","12"
1407,3,"12.0 oz","12"
1408,3,"12.0 ounce","12"
1409,3,"16.0 oz.","16"
1410,3,"12.0 ounce","12"
1411,3,"12.0 oz.","12"
1412,3,"12.0 ounce","12"
1413,3,"12.0 oz.","12"
1414,3,"12.0 OZ.","12"
1415,3,"12.0 ounce","12"
1416,3,"12.0 ounce","12"
1417,3,"12.0 oz.","12"
1418,3,"12.0 oz","12"
1419,3,"12.0 OZ.","12"
1420,3,"16.0 oz","16"
1421,3,"16.0 oz.","16"
1422,3,"16.0 oz.","16"
1423,3,"16.0 ounce","12"
1424,3,"12.0 oz.","12"
1425,3,"16.0 ounce","12"
1426,3,"16.0 oz.","16"
1427,3,"16.0 oz","16"
1428,3,"16.0 oz.","16"
1429,3,"16.0 oz. Alumi-Tek","12"
1430,3,"16.0 oz.","16"
1431,3,"16.0 oz","16"
1432,3,"16.0 oz","16"
1433,3,"16.0 ounce","12"
1434,3,"16.0 oz.","16"
1435,3,"16.0 oz.","16"
1436,3,"12.0 oz","12"
1437,3,"12.0 ounce","12"
1438,3,"12.0 ounce","12"
1439,3,"12.0 oz","12"
1440,3,"12.0 oz. Alumi-Tek","16"
1441,3,"12.0 ounce","12"
1442,3,"12.0 oz.","12"
1443,3,"12.0 oz.","12"
1444,3,"12.0 ounce","12"
1445,3,"12.0 oz","12"
1446,3,"12.0 oz.","12"
1447,3,"12.0 oz.","12"
1448,3,"12.0 oz.","12"
1449,3,"16.0 ounce","12"
1450,3,"12.0 oz.","12"
1451,3,"12.0 oz.","12"
1452,3,"12.0 oz.","12"
1453,3,"12.0 oz.","12"
1454,3,"16.0 oz","12"
1455,3,"16.0 oz.","16"
1456,3,"16.0 oz.","16"
1457,3,"12.0 oz.","12"
1458,3,"12.0 ounce","12"
1459,3,"12.0 ounce","12"
1460,3,"12.0 oz.","12"
1461,3,"12.0 oz.","12"
1462,3,"12.0 ounce","12"
1463,3,"12.0 OZ.","12"
1464,3,"12.0 oz.","12"
1465,3,"12.0 ounce","12"
1466,3,"16.0 oz.","16"
1467,3,"16.0 oz.","16"
1468,3,"12.0 oz","12"
1469,3,"12.0 ounce","12"
1470,3,"12.0 OZ.","12"
1471,3,"12.0 oz.","12"
1472,3,"16.0 oz.","16"
1473,3,"16.0 oz.","16"
1474,3,"16.0 oz.","16"
1475,3,"12.0 OZ.","12"
1476,3,"12.0 oz","12"
1477,3,"12.0 oz. Alumi-Tek","12"
1478,3,"12.0 oz.","12"
1479,3,"12.0 oz. Alumi-Tek","12"
1480,3,"12.0 oz","12"
1481,3,"12.0 ounce","12"
1482,3,"12.0 oz","12"
1483,3,"12.0 oz","12"
1484,3,"12.0 oz.","12"
1485,3,"12.0 oz.","12"
1486,3,"16.0 oz","16"
1487,3,"16.0 oz.","16"
1488,3,"16.0 oz.","16"
1489,3,"12.0 ounce","12"
1490,3,"12.0 oz.","12"
1491,3,"12.0 oz","12"
1492,3,"12.0 oz","12"
1493,3,"16.0 ounce","12"
1494,3,"16.0 oz","16"
1495,3,"16.0 oz.","16"
1496,3,"16.0 oz.","16"
1497,3,"16.0 oz","16"
1498,3,"16.0 oz.","16"
1499,3,"16.0 oz.","16"
1500,3,"16.0 oz.","16"
1501,3,"16.0 oz.","16"
1502,3,"12.0 ounce","12"
1503,3,"12.0 oz.","12"
1504,3,"12.0 ounce","12"
1505,3,"12.0 oz.","12"
1506,3,"12.0 ounce","12"
1507,3,"12.0 oz","12"
1508,3,"12.0 oz.","12"
1509,3,"12.0 ounce","12"
1510,3,"12.0 oz","12"
1511,3,"12.0 oz","12"
1512,3,"12.0 ounce","12"
1513,3,"16.0 oz","16"
1514,3,"12.0 oz.","12"
1515,3,"12.0 OZ.","12"
1516,3,"12.0 oz","12"
1517,3,"16.0 ounce","12"
1518,3,"16.0 ounce","12"
1519,3,"16.0 oz","16"
1520,3,"16.0 ounce","12"
1521,3,"12.0 oz.","12"
1522,3,"12.0 oz.","12"
1523,3,"12.0 oz","12"
1524,3,"12.0 oz.","12"
1525,3,"12.0 oz","12"
1526,3,"12.0 ounce","12"
1527,3,"12.0 oz","12"
1528,3,"16.0 oz","16"
1529,3,"16.0 oz.","16"
1530,3,"16.0 oz","16"
1531,3,"16.0 ounce","16"
1532,3,"16.0 oz","16"
1533,3,"16.0 oz.","16"
1534,3,"16.0 oz.","16"
1535,3,"16.0 oz.","16"
1536,3,"16.0 oz.","16"
1537,3,"16.0 oz","16"
1538,3,"16.0 ounce","12"
1539,3,"16.0 oz.","16"
1540,3,"16.0 OZ.","16"
1541,3,"16.0 oz","16"
1542,3,"16.0 ounce","16"
1543,3,"16.0 oz","16"
1544,3,"16.0 oz.","16"
1545,3,"16.0 oz.","16"
1546,3,"16.0 oz","16"
1547,3,"16.0 oz.","16"
1548,3,"16.0 oz","16"
1549,3,"12.0 oz.","12"
1550,3,"12.0 ounce","12"
1551,3,"12.0 oz","12"
1552,3,"19.2 oz. Alumi-Tek","16"
1553,3,"16.0 oz","16"
1554,3,"32.0 oz.","32"
1555,3,"12.0 ounce","12"
1556,3,"16.0 ounce","12"
1557,3,"12.0 oz. Alumi-Tek","12"
1558,3,"12.0 ounce","12"
1559,3,"12.0 OZ.","12"
1560,3,"12.0 oz","12"
1561,3,"19.2 OZ.","19"
1562,3,"19.2 oz.","19"
1563,3,"16.0 ounce","12"
1564,3,"19.2 OZ.","19"
1565,3,"16.0 oz","16"
1566,3,"12.0 ounce","12"
1567,3,"12.0 oz","12"
1568,3,"12.0 oz","12"
1569,3,"12.0 oz.","12"
1570,3,"12.0 ounce","12"
1571,3,"16.0 oz.","16"
1572,3,"16.0 oz","16"
1573,3,"16.0 oz.","16"
1574,3,"12.0 ounce","12"
1575,3,"16.0 ounce","12"
1576,3,"12.0 ounce","12"
1577,3,"12.0 oz.","12"
1578,3,"12.0 ounce","12"
1579,3,"12.0 OZ.","12"
1580,3,"12.0 ounce","12"
1581,3,"12.0 oz.","12"
1582,3,"12.0 oz","12"
1583,3,"12.0 oz.","12"
1584,3,"12.0 oz.","12"
1585,3,"12.0 oz.","12"
1586,3,"12.0 oz.","12"
1587,3,"12.0 oz.","12"
1588,3,"12.0 oz.","12"
1589,3,"12.0 oz","12"
1590,3,"12.0 ounce","12"
1591,3,"12.0 oz.","12"
1592,3,"12.0 oz","12"
1593,3,"12.0 oz.","12"
1594,3,"12.0 oz","12"
1595,3,"12.0 oz","12"
1596,3,"12.0 ounce","12"
1597,3,"12.0 OZ.","12"
1598,3,"12.0 oz","12"
1599,3,"16.0 oz","16"
1600,3,"12.0 oz","12"
1601,3,"19.2 oz.","19"
1602,3,"12.0 oz.","12"
1603,3,"12.0 oz","12"
1604,3,"12.0 oz","12"
1605,3,"12.0 oz.","12"
1606,3,"12.0 oz. Alumi-Tek","12"
1607,3,"12.0 oz","12"
1608,3,"16.0 ounce","12"
1609,3,"16.0 ounce","16"
1610,3,"16.0 oz.","16"
1611,3,"16.0 ounce","12"
1612,3,"16.0 oz.","16"
1613,3,"12.0 oz.","12"
1614,3,"12.0 oz","12"
1615,3,"12.0 oz","12"
1616,3,"12.0 oz.","12"
1617,3,"12.0 oz.","12"
1618,3,"12.0 ounce","12"
1619,3,"12.0 OZ.","12"
1620,3,"12.0 oz.","12"
1621,3,"12.0 ounce","12"
1622,3,"12.0 oz.","12"
1623,3,"12.0 oz.","12"
1624,3,"12.0 ounce","12"
1625,3,"12.0 ounce","12"
1626,3,"12.0 oz","12"
1627,3,"12.0 oz","12"
1628,3,"12.0 oz.","12"
1629,3,"12.0 oz.","12"
1630,3,"12.0 ounce","12"
1631,3,"12.0 oz.","12"
1632,3,"12.0 oz.","12"
1633,3,"12.0 OZ.","12"
1634,3,"12.0 ounce","12"
1635,3,"12.0 oz. Alumi-Tek","12"
1636,3,"12.0 oz","12"
1637,3,"12.0 ounce","12"
1638,3,"12.0 oz","12"
1639,3,"12.0 oz","12"
1640,3,"16.0 oz.","16"
1641,3,"16.0 oz.","16"
1642,3,"16.0 oz.","16"
1643,3,"16.0 oz. Alumi-Tek","12"
1644,3,"12.0 oz.","12"
1645,3,"16.0 oz.","16"
1646,3,"16.0 oz","16"
1647,3,"12.0 oz.","12"
1648,3,"12.0 oz.","12"
1649,3,"12.0 ounce","12"
1650,3,"16.0 oz","16"
1651,3,"16.0 ounce","12"
1652,3,"16.0 oz.","16"
